iter	Passed	Remaining
0	2	294
1	5	271
2	8	268
3	10	248
4	12	246
5	15	241
6	18	240
7	20	238
8	23	235
9	25	232
10	28	231
11	31	229
12	33	226
13	36	221
14	38	217
15	40	212
16	42	208
17	45	205
18	47	201
19	49	197
20	51	193
21	53	189
22	55	186
23	57	183
24	60	180
25	62	177
26	64	174
27	67	172
28	69	169
29	71	167
30	73	164
31	76	161
32	78	159
33	80	155
34	82	152
35	83	148
36	85	145
37	87	142
38	88	138
39	90	135
40	91	131
41	92	127
42	93	123
43	94	120
44	95	117
45	97	113
46	98	110
47	99	107
48	100	104
49	101	101
50	102	98
51	104	96
52	105	93
53	106	90
54	106	87
55	107	84
56	108	82
57	109	79
58	111	77
59	112	74
60	113	72
61	113	69
62	114	67
63	115	65
64	116	62
65	117	60
66	118	58
67	119	56
68	120	54
69	121	52
70	122	50
71	123	48
72	124	46
73	125	44
74	126	42
75	127	40
76	128	38
77	129	36
78	130	34
79	131	32
80	132	31
81	133	29
82	134	27
83	135	25
84	136	24
85	137	22
86	138	20
87	139	19
88	140	17
89	141	15
90	142	14
91	143	12
92	144	10
93	145	9
94	146	7
95	147	6
96	148	4
97	149	3
98	150	1
99	151	0
